rating,reviewer_id,date,review_title,review_body,category,score_gemini,score_groq,rating_sentiment,gemini_sentiment,groq_sentiment,final_sentiment,final_score
0,chris,2025-09-24,,vegetable oil run mill vegetable oil affordable im walmart cancel delivery order without warn without attempt reschedule cancel mine recently mean hold money 10 business days thats right cancel order hold money ive call bank cant anything walmart control transaction not no groceries 200 additional amount charge time hold unavailable ten business days youre better use amazon doordash dont bother especially live norfolk va use tidewater drive store particularly bad,food,0,0,negative,negative,negative,negative,0.0
1,arnetta,2025-10-13,great quality value goto cook oil,ive buy great value vegetable oil years never disappoint perfect everyday cookingwhether im fry bake saute oil neutral flavor doesnt overpower food heat evenly 48 fl oz size great deal price last good kitchen bottle easy pour store overall affordable reliable staple home cook,food,1,1,positive,positive,positive,positive,1.0
0,laiila,2024-01-18,,im 1000 sure suppose sort safety self vegetable oil ill definitely discard waste money,food,0,0,negative,negative,negative,negative,0.0
0,tranquilus,2025-10-18,great value vegetable oil review,oil contribute rectal bleed may cause type bleed consume small amount two spoon daily basis,food,0,0,negative,negative,negative,negative,0.0
1,wanda,2025-10-30,,use deep fry actually better pan fry right seal whatever youre fry buttermilk flour doesnt soak near much oil try,food,0,1,positive,negative,positive,positive,1.0
1,anita,2025-11-05,,like vegetable oil best unless make italian food use olive oil use great value brand always think better brand 26 think try,food,1,1,positive,positive,positive,positive,1.0
1,dawn,2025-11-18,great value vegetable oil,vegetable oil work great namebrand products cheaper heat well doesnt smoke high heat not leave oily taste foods would recommend vegetable oil,food,1,1,positive,positive,positive,positive,1.0
1,moneq,2026-02-16,great value great choice,theres no difference national brand versus store brand price use cook bake need ive never issue product,food,1,1,positive,positive,positive,positive,1.0
1,shari,2025-12-12,,im always careful order store brand verse name brand bake lot need products good name brand product great value vegetable oil stand brand vegetable oil use highly recommend,food,1,1,positive,positive,positive,positive,1.0
1,gil,2025-12-15,,ive use oil great value brand exactly higher price brand no doubt everyone buy brand try sure not disappoint trust,food,1,1,positive,positive,positive,positive,1.0
1,brenda,2025-11-06,,need print receipt online purchase love associate deliver purchase directly door older woman disability husband not help,food,0,1,positive,negative,positive,positive,1.0
1,mary,2025-10-19,love walmart,no dislike convenient n price reasonable compare big store recommend walmart shoppers look good deal n delivery respectful n prompt 5 star,food,1,1,positive,positive,positive,positive,1.0
1,amanda,2025-10-22,please delivery easy order,really appreciate delivery options make grocery shop breeze delivery person bring apartment 3rd floor deserve best tip,food,1,1,positive,positive,positive,positive,1.0
1,stephen,2025-11-02,,one things buy price use olive oil things still like vegetable oil fry fry chicken dont use much buy bargain,food,0,1,positive,negative,positive,positive,1.0
1,ennestine,2025-10-23,vegetable oil great product,walmart great store great vegetable oil great product vegetable oil cook crispy drip good use,food,1,1,positive,positive,positive,positive,1.0
0,jeannette,2025-11-12,oil act really weird almost cause fire,dont know deal last batch oil buy nightmare cook foam almost cause fire stave absolute nightmare not buy vegetable oil,food,1,0,negative,positive,negative,negative,0.0
0,michelle,2025-11-18,,order afternoon say would no later 10pm day follow day noon still havent receive review something never get,food,0,0,negative,negative,negative,negative,0.0
0,ulrike,2025-12-10,short not sweet,get pay thing say items not leave delivery person item purchase personally,food,0,0,negative,negative,negative,negative,0.0
1,marv,2025-12-12,,buy vegetable oil terrible cook super unhealthy invent farm machine lubricate also earwigs attract things make decent trap vegetable oil,food,0,0,positive,negative,negative,negative,0.0
1,bliss,2026-02-04,,oil look feel perform exactly expect would use sweet bread cookies cornbread cake turn great im go continue use go ahead try,food,1,1,positive,positive,positive,positive,1.0
1,mark,2026-02-24,drip catch rim top,find product useful many cook need small critique pore would nice drip rim add,food,0,1,positive,negative,positive,positive,1.0
1,shannon,2026-02-28,cook oil,not something use daily basis dont use daily really last couple months one hundred percent recommend use,food,1,1,positive,positive,positive,positive,1.0
1,mary,2025-12-28,,sound not go place walmart shop love quality staff great place able find everything need go store store thank walmart,food,1,1,positive,positive,positive,positive,1.0
1,julie,2025-12-28,good basic oil,low bad stuff not suppose use make french fry hash brown fine container sturdy pretty easy pour little thats ya need,food,1,1,positive,positive,positive,positive,1.0
1,tanya,2026-01-01,,great value vegetable oil great use cook bake need things pricey lately nice cost effective options quality brand,food,1,1,positive,positive,positive,positive,1.0
0,helen,2026-01-12,unorded item,not order item oil try look order review cannot bring return item not use item use crisco will wait next order get credit,food,0,0,negative,negative,negative,negative,0.0
1,patrick,2026-01-05,,handicap unable drive walmart groceries need walmart one place would shop personal need life thank walmart everyone employees,food,1,1,positive,positive,positive,positive,1.0
1,lmme,2026-01-14,cook oil,cook oil comparable name brand oil price little cheaper isnt light crisco oil since shoestring budget choose save wherever,food,1,1,positive,positive,positive,positive,1.0
1,lori,2025-10-21,great oil great price,use great value vegetable oil bake fry see no difference quality taste expensive name brand think price make best option vegetable oil,food,1,1,positive,positive,positive,positive,1.0
1,ruby,2026-02-09,great value vegetable oil,great value cook oil great fry bake light taste serve purpose expensive brand lower price,food,1,1,positive,positive,positive,positive,1.0
1,dana,2026-02-09,good product,great value basic bake pantry staple good quality affordable great way keep items need bake cook meals always hand quality consistent make loyal purchaser,food,1,1,positive,positive,positive,positive,1.0
1,anonymous,2026-01-18,vegetable cook oil,vegetable cook oil not much else say work advertise light cook oil opinion doesnt give food flavor kinda thing like,food,1,1,positive,positive,positive,positive,1.0
1,jennifer,2026-02-05,good stuff,good quality oil size work use quite bite oil bake oil great hand please highly recommend,food,0,1,positive,negative,positive,positive,1.0
1,shellabzy,2026-02-05,good affordable cook oil,use buy another cornnoul brand keep raise price give walmarts great value oil try never look back great cook oil fraction usual price,food,1,1,positive,positive,positive,positive,1.0
1,,2026-02-06,,oil super light doesnt leave taste good use fry make salad dressings thing use vegetable oil great price,food,1,1,positive,positive,positive,positive,1.0
1,anonymous,2026-01-24,good many recipes recommend,use vegetable oil fry meat also cook good tasty cake highly suggest product since cheap really valuable good quality,food,1,1,positive,positive,positive,positive,1.0
1,susan,2026-01-27,good oil price better crisco,use oil make doughnuts turn great no residual oil taste awesome would recommend oil think better crisco,food,1,1,positive,positive,positive,positive,1.0
1,lisa,2026-02-11,,buy brand vegetable oil many years great value price always taste fresh no reason spend oil great expensive brand,food,1,1,positive,positive,positive,positive,1.0
1,mary,2026-03-03,,refresh know still find pantry staple walmart pice still affordable available change go food days good job walmart,food,1,1,positive,positive,positive,positive,1.0
1,barbara,2025-10-31,good cook oil,great value cook oil delicious recipes require deep fry doesnt affect taste food wonderful fry chicken pork chop sea food price value good,food,1,1,positive,positive,positive,positive,1.0
1,william,2026-03-04,decent oil cheap price,probably not health food decent enough cook need large volume oil deep fry definitely trick decent basic oil cheap price,food,1,1,positive,positive,positive,positive,1.0
1,luciana,2025-07-31,versatile every day use,youre look highly affordable neutralflavored cook oil everyday fry bake great value vegetable oil 48 fl oz solid pick perform reliably offer excellent bang buck however youre seek healthieror flavorsensitiveoption consider swap avocado olive oil cold use canolasunflower lighter nutritional profile,food,1,1,positive,positive,positive,positive,1.0
1,paul,2025-07-31,,great value brand cookingsalad oil go brand need good vegetable oil economicaland quality excellent ive shop around lot youre go difficult time try beat walmart price plusthis oil soybean oil definitely dont problem soybeansthank walmart,food,0,1,positive,negative,positive,positive,1.0
1,nekondeh,2025-08-01,give justin raise asap,justin wonderful customer service drive timely efficient ive use pickup since first begin 6 years ago pickup people generally wonderful need figure keep good employees justin best,food,1,1,positive,positive,positive,positive,1.0
1,rachel,2025-08-23,name brand not make anything better,use buy name brand products recently groceries overprice ive buy store brand come conclusion buy certain name doesnt make better great value veg oil good others lower price,food,0,0,positive,negative,negative,negative,0.0
1,verna,2025-08-22,,dont want review item individual thing buy overall completely satisfy everything purchase deliver completely satisfy deliver order things deliver thank much mrs sanders,food,1,1,positive,positive,positive,positive,1.0
0,roseann,2025-09-07,,disappoint order alot website food seem something always miss item yes things happen understand food order september 7th need vegetable use day upset didnt product order thats didnt order end couldnt nothing dont transportation go get different store otherwise would,food,0,0,negative,negative,negative,negative,0.0
1,judy,2025-07-31,date bread,bread send best buy date july 30 yesterday 31st pick think pick loaves bread even milk look best buy date pick furthest date ive never problems milk bread yesterday probably not gonna last long go bad,food,0,1,positive,negative,positive,positive,1.0
1,tim,2025-08-10,oil try,grandfather 15 grandkids take lot cook oil think oil best buy money need less cook pan add mix dose well mix kind cake mix food cook fryers pot dept fryer no bad taste price well lowest price others try use cook even hand ay end day thank ask think product tim caudill,food,1,1,positive,positive,positive,positive,1.0
1,sandra,2024-01-24,cook oil,not favorite oil fry fish well,food,0,0,positive,negative,negative,negative,0.0
0,magdalah,2024-04-06,thats misarablae,next time give exactly want,food,0,0,negative,negative,negative,negative,0.0
0,carmon,2023-04-02,,vegetable oil open leak,food,0,0,negative,negative,negative,negative,0.0
1,walmart customer,2024-05-07,oiloil,oil oil may fry bake buy expensive oil,food,0,0,positive,negative,negative,negative,0.0
0,k,2023-09-21,vegetable oil,look like vegetable oil drop,food,0,0,negative,negative,negative,negative,0.0
1,linda,2025-10-14,,always fresh last days always fresh last days like freeze defrost flavorful first buy like freeze defrost flavorful first buy,food,1,1,positive,positive,positive,positive,1.0
1,bhargavi,2025-09-27,,flexible cap whenever use oil leak drop come top bottom bottle bottle become muddy sticky please take issue seriously,food,0,1,positive,negative,positive,positive,1.0
1,molly,2025-09-30,,always buy oil start price continue no oily flavor unless want food come right every time,food,0,1,positive,negative,positive,positive,1.0
1,cd,2025-09-17,quality price great,quality price great fry chicken fry always come crunchy outside tender inside best buy youre watch dollars,food,1,1,positive,positive,positive,positive,1.0
1,mrblueu,2014-11-05,bottle design fail,would still recommend product newly design bottle big fail thin plastic smash mash dent inward easily order couple altho mash dent fortunately no spillage go gallon sizebottle design fail mash dent not even sure go pour since top squish inward product within bottle good vegetable oil new bottle design leave much desire,food,1,0,positive,positive,negative,positive,1.0
1,neil,2025-05-30,ideal cook oil,gv cook oil diesnt add extra flavor whatever cook ideal finicky palates use neesd add oil coat skillet add mix call oil also fairly high temperature tolerance doesnt smoke discolor skillets pan highly recommend,food,1,1,positive,positive,positive,positive,1.0
1,melba,2025-05-28,,buy great value products lot theyre budget friendly good name brand vegetable oil taste no different name brand make food taste good use time highly recommend recommend,food,0,1,positive,negative,positive,positive,1.0
1,thomas,2025-07-11,nothing taste better cook oil,slight difference taste premium king oil cook suchcalvin crisco value thru roof bottle add cup half free price 2 king not surprise advise,food,0,0,positive,negative,negative,negative,0.0
0,gregory,2025-05-20,bottle way thin flimsy,oil fine bottle flimsy nothing aggravate grab bottle liquid bottle flimsy liquid squirt top make huge mess last thing need try cook would better bag oil instead thin flimsy collapse bottle least way would expect collapse slightest touch,food,0,0,negative,negative,negative,negative,0.0
1,ella,2022-07-08,really good oil,really good oil switch great value brand buy items gv brand not price sometimes price quality always top notch italian sausages better premio pay gv sausages anytime,food,0,1,positive,negative,positive,positive,1.0
1,naomi,2025-05-26,vegetable oil,vegetable oil say great vegetables perfect cake get dont think work car good didnt get car another note vegetable oil use lot things add water pasta put rise dough hand knead dough put meat kind help hold spice little oil pan also help keep stick crisp meat time vegetable oil go one work,food,1,1,positive,positive,positive,positive,1.0
1,sandy,2026-02-19,must bake need,use bread make cake bake cookies no complaints everything good blance moisture,food,1,1,positive,positive,positive,positive,1.0
1,rita,2026-02-20,,good oil cook fry bake work well bake need good fry make french fry crispy,food,1,1,positive,positive,positive,positive,1.0
1,michael,2025-12-14,good price 26 good quality product,oil good name brand vegetable oil fry stuff cook bake,food,1,0,positive,positive,negative,positive,1.0
1,rn2tired,2025-11-01,good,vegetable oil great fry good name brand much cheaper choose great value oil others,food,1,1,positive,positive,positive,positive,1.0
1,leslie,2025-11-03,,oil gods sake really matter make vegetable oil want taste go buy flavor oil like olive oil,food,0,0,positive,negative,negative,negative,0.0
1,theqjb,2025-10-16,great value vegetable oil,good alternative brand without inflate price high smoke point overall better option mg budget,food,1,1,positive,positive,positive,positive,1.0
1,cynthia,2025-10-27,ok value,sorry not much fan oil seem like take longer cook foods brand,food,0,0,positive,negative,negative,negative,0.0
1,maryhelen,2025-11-02,good product good value,really cant remember use another vegetable oil ive cook years bake fry good price,food,1,1,positive,positive,positive,positive,1.0
1,jeff,2025-10-15,work,cheap fry oil tendency burn lower expect temperatures expect use cheap oil,food,0,0,positive,negative,negative,negative,0.0
1,cillo,2025-11-02,,price especially budget great product order use product time,food,1,1,positive,positive,positive,positive,1.0
1,ashley,2025-11-01,,vegetable oil work like need vegetable oil budget grab great value vegetable oil,food,1,1,positive,positive,positive,positive,1.0
1,susan,2025-11-10,,work great french fry family love way fry taste fry occasional treat rather air fry bake,food,0,1,positive,negative,positive,positive,1.0
0,suckit,2025-11-12,,didnt get didnt get refund walmart worst work ethic customer service liars thieve shop krogers,food,0,0,negative,negative,negative,negative,0.0
1,narendra,2025-11-14,,li would highly recommend customers edible good health no irritate strong smell,food,0,1,positive,negative,positive,positive,1.0
1,jewel,2025-11-14,,definitely another win ongoing increase price performance flavor definitely point thank,food,1,1,positive,positive,positive,positive,1.0
1,delores,2025-11-16,,get big bottle cook oil decide go small bottle oil less space cabinet,food,1,1,positive,positive,positive,positive,1.0
1,ellen,2025-11-15,good,oil goto versatility flavor use bake fry griddle,food,1,1,positive,positive,positive,positive,1.0
1,betty,2025-11-23,,buy price dont complaints good pricier brand name,food,1,1,positive,positive,positive,positive,1.0
1,hester,2025-11-22,,trust walmart great value label present good quality food products lower price deliver,food,1,1,positive,positive,positive,positive,1.0
1,david,2025-12-28,,great go oil need especially like potatoes caramelize onions,food,1,1,positive,positive,positive,positive,1.0
1,joannaisha,2025-12-25,walmart brand excellent,purchase oil use find work perfect need no reason pay extra name brand,food,1,1,positive,positive,positive,positive,1.0
1,esther,2025-12-25,,cook oil product store neutral flavor use bake fry,food,1,1,positive,positive,positive,positive,1.0
1,rebecca,2025-12-29,great value good name brand,use lot bake poppyseed bread everyone love bread great vegetable oil good name brand,food,1,1,positive,positive,positive,positive,1.0
1,pamela,2026-01-02,,dont use lot oil cook also reuse oil without bad taste taste burn,food,1,0,positive,positive,negative,positive,1.0
1,doris,2026-01-06,great,cant afford olive oil one never know really olive oil price way buy,food,1,1,positive,positive,positive,positive,1.0
1,anna,2026-01-07,love food mainly chicken,love oil try keep much oil system though child lovely teens try nice jeans try cut oil bake,food,0,1,positive,negative,positive,positive,1.0
1,catherine,2026-01-06,,work fine cut grocery cost one way not tell difference taste,food,1,1,positive,positive,positive,positive,1.0
1,debbie,2026-01-08,healthy egg,egg good usually like 24 egg pack not available settle 12 pack good value,food,0,0,positive,negative,negative,negative,0.0
1,caitlin,2026-01-07,great product,good product use make latkes holiday taste great buy,food,1,1,positive,positive,positive,positive,1.0
1,artisha,2026-02-21,,like great price dislike get black 1 use use fudgy browniesand dont dry fast,food,0,0,positive,negative,negative,negative,0.0
1,tami,2026-02-02,,want cisco brand shopper say walmart doubt walmart not need oil,food,0,0,positive,negative,negative,negative,0.0
1,edilsa,2026-02-09,,oil use fry doesnt leave oily taste start use bake also work great,food,1,1,positive,positive,positive,positive,1.0
1,dolores,2026-02-07,,good taste like flavor wise isnt rich price good always go recommend 100,food,1,1,positive,positive,positive,positive,1.0
1,auntiefaith,2026-02-10,good name brand,use great value oil bake fewtimes fry something oil light doesnt power taste food,food,1,1,positive,positive,positive,positive,1.0
1,steve,2025-05-04,great watch eagle destroy chiefs,buy could experience amaze playoff run 20242025 philadelphia eagle go bird use centerpiece outdoor party tent watch eagle completly destroy kc chiefs beautiful watch superbowl 37 time last 3 monthsit best day life projector well worth money,electronics,0,1,positive,negative,positive,positive,1.0
1,christina,2024-04-27,grandpa love nice projector,nice projector grandpa birthday gift happy purchase love stay home watch movie friendly user easy use set tv either use wifi bluetooth another like love go camp bring lightweighted small picture quality good tv thank much product arrive time able give weekend bday party,electronics,1,1,positive,positive,positive,positive,1.0
1,krista,2024-12-16,excellent picture,cool get kid christmas get stick check outsetting still watch kid come school dial make cleareven projector screen look clear buy kid one keep one downside cant download disney connect xbox want,electronics,1,1,positive,positive,positive,positive,1.0
1,michelle,2024-11-26,amaze portable projector,buy around 50 black friday want affordable beginnerfriendly projector project bedroom ceiling take outside deck company havent try take outside project perfectly onto ceiling bluetooth capable use shokz headphones sound audio decent prefer connect another device sound better,electronics,1,1,positive,positive,positive,positive,1.0
1,natalie,2025-04-14,good image work,really surprise quality image price size sound quality not amaze doesnt mean bad normal since design share video app work fine image although not perfect good enough see color main concern buy remind quality cheap tvs begin 2000s lol good enough extra secondary tv need case,electronics,1,1,positive,positive,positive,positive,1.0
1,anonymous,2025-07-12,impress,good projector price would recommend still use firestick roku applications software projector little glitchy definitely worth money though,electronics,1,1,positive,positive,positive,positive,1.0
0,sharon,2025-01-30,go return,two star wifi bluetooth high resolution product not compatible airplay reach company tell use cable another thing project black spot definitely something wrong,electronics,1,0,negative,positive,negative,negative,0.0
0,anonymous,2025-03-18,quality issue not 4k,money time wast wont support 4k corner blur might get headache watch movies inconsistent quality picture auto correct another issue manually correct keystone make square hd project 15 feet width blur go bigger screen size projectors use many years plz spend little get good one,electronics,0,0,negative,negative,negative,negative,0.0
0,cindi,2025-10-25,,not long picture go,electronics,1,0,negative,positive,negative,negative,0.0
1,luisa,2025-02-09,worth money,worth money spend connect apple tv work perfectly issue dont unplug turn back sound doesnt work overall product pretty good,electronics,0,1,positive,negative,positive,positive,1.0
0,elfonsey,2024-12-05,false advertise,not item order evidence see attach picture recieved order picture would like item order money back make no difference,electronics,0,0,negative,negative,negative,negative,0.0
1,christina,2025-02-12,cant scroll netflix easily,really like things dont like not able scroll netflix easilyyou use mouse button fact not chargeableit plug work,electronics,0,0,positive,negative,negative,negative,0.0
1,becky1968,2025-08-31,good pic,great pic easy use love pic back neighbor wood fence fire go,electronics,1,1,positive,positive,positive,positive,1.0
0,luis,2025-04-06,,scammed send bed sore lotion please dont buy,electronics,0,0,negative,negative,negative,negative,0.0
1,aaliyah,2025-09-29,,projector absolutely amaze surprise price sound good picture quality super clearjust plug connect wifi worksss good come hdmi hook computer anything else,electronics,1,1,positive,positive,positive,positive,1.0
1,angel,2024-04-23,worth buy,small size big effect plug play see comment try buy mentality not expect clear no difference tv convenient tv not hang wall put wall big screen tv also cast ceiling achieve lie enjoy program hundreds dollars see draw curtain day also clear slightly less night overall cost performance high real comment buyers behind real reference,electronics,0,1,positive,negative,positive,positive,1.0
1,bishal,2024-05-02,good small projector,projector arrive time good package projector light weight compact portable like visual resolution high definition clear clarity visuals projector connect internet use wifi speakers use bluetooth like sound speaker connect use bluetooth good small projector,electronics,0,1,positive,negative,positive,positive,1.0
1,min,2024-05-08,good product,buy projector family room quality amaze everyone love projector easy use not much clean movie night doughters birthday freinds ask products afterwards downside audio little lower use bluetooth speaker fine overall family love lot,electronics,0,1,positive,negative,positive,positive,1.0
1,ns,2024-05-01,nice projector high picture quality,really like product compact nice design easy move install like pixels quality projector really help baby calm also enjoy watch movies projector connect wifi enjoy netflix youtube convenient move room anywhere without issue far happy purchase,electronics,1,0,positive,positive,negative,positive,1.0
1,ss,2024-05-04,smart compact projector 4k,smart compact 4k projector like especially price range work well actually beyond expectations price think would not work wifi watch prime netflix youtube need not stick tv time move room want watch anything easy set worth buy,electronics,1,1,positive,positive,positive,positive,1.0
1,calvin,2024-06-19,good compact projector,get mini projector smart movie projection recently awesome super easy set use picture quality pretty impressive small device lightweight portable ive move around house even use outdoor movie night one cool thing try project onto ceiling lie bedsuch fun experience check photo builtin speakers decent overall great little projector price,electronics,1,1,positive,positive,positive,positive,1.0
1,nikita,2024-05-06,simply great projector worth buy,simply amaze product well perform like product easy install take 5 minutes open operate work wifi price affordable enjoy watch show projector easy move setup room also carry want trip,electronics,1,1,positive,positive,positive,positive,1.0
1,jona,2024-04-27,surprisingly good projector,take almost no time set simple small portable test floor verify important stuff work take mount base screw ceiling single screw washer instal work great im surprise quality image clear autokeystone function straighten image instantly wifi android os remote controller fine standalone entertainment projector not try cast nor usb hdmi function stream fast smooth minor complaint brightness image definitely not bright enough use well light room work well dim room great dark sound quality good not loud crystal clear besides thats bluetooth overall good easy use projector,electronics,1,1,positive,positive,positive,positive,1.0
0,juan,2024-05-30,bait switch,try purchase projector list instead get different one probably inferior feature,electronics,0,0,negative,negative,negative,negative,0.0
0,stephen,2024-10-31,could better,picture quality good auto adjust doesnt work well cant get apps work youtube without add chromcast roku,electronics,0,0,negative,negative,negative,negative,0.0
1,bedy,2024-09-27,life saver,pocket projector nice image good resolution nice screen view size use seal girlfriend watch tv 1080p 60hz good game 4k 30hz decent game 1080p 60hz good video stream 4k 30hz decent video stream,electronics,1,1,positive,positive,positive,positive,1.0
1,sid,2024-06-15,smart great quality,honestly super surprise quality projector apps like netflix youtube already come instal also cast phone directly projector love quality totally worth price,electronics,1,1,positive,positive,positive,positive,1.0
1,anna,2024-04-24,compact portable projector,light small projector relatively clear even daytime think use not home also campingthe builtin app also fast open,electronics,1,1,positive,positive,positive,positive,1.0
1,rachel,2024-10-23,well worth happy find sale,amaze easy set hook wifi picture crisp clear sound good add sound bar better sound farther away unit,electronics,1,1,positive,positive,positive,positive,1.0
1,jam,2025-10-30,,buy camp watch scary movies outdoors absolutely love small portable convenient simple plug n play smart projector hdmi bluetooth smart apps preloaded perfect hi def picture amaze sound little projector tho bluetooth external speaker movies outside perfect around,electronics,1,1,positive,positive,positive,positive,1.0
1,carlos,2025-10-31,,im impress little portable projector easy use small speaker inside bluetooth speaker make sound better easily sync smartphone apps already install apps portable cant wait take beach camp even use balcony,electronics,1,1,positive,positive,positive,positive,1.0
